employee_id,first_name,last_name,gender,department,role,location,birth_date,hire_date
1,Charles,Mayo,Male,Support,Support Engineer,Mumbai,1998-01-09,2022-07-25
2,Justin,Duncan,Non-binary,Sales,Account Manager,Bangalore,1966-02-08,2017-05-13
3,Andrea,Vasquez,Male,HR,HR Manager,Pune,1983-11-12,2018-11-04
4,Frank,Greene,Female,Product,Product Manager,Bangalore,1965-03-25,2023-12-14
5,Jeffrey,Estrada,Male,Marketing,SEO Specialist,Pune,1976-10-17,2015-04-17
6,David,Palmer,Non-binary,Support,Support Engineer,Mumbai,1995-10-05,2019-07-31
7,Wanda,Love,Male,HR,HR Executive,Bangalore,1985-10-25,2019-01-06
8,Kara,Kelley,Male,Finance,Finance Manager,Hyderabad,2001-07-23,2024-09-15
9,Pamela,Flowers,Female,Sales,Account Manager,Bangalore,1982-10-13,2018-09-08
10,Melissa,Jordan,Non-binary,Finance,Finance Manager,Bangalore,1980-01-01,2017-06-30
11,Zachary,Harris,Non-binary,Finance,Accountant,Mumbai,1968-07-31,2015-04-16
12,Nathaniel,Cole,Female,Sales,Sales Executive,Pune,1982-10-07,2019-03-24
13,Marcus,Anderson,Male,Marketing,SEO Specialist,Bangalore,2001-09-27,2024-08-22
14,Traci,Wilcox,Female,Sales,Account Manager,Chennai,1968-02-28,2024-02-11
15,Nicole,White,Non-binary,HR,HR Manager,Mumbai,1970-02-07,2023-08-01
16,Shannon,Jones,Male,Sales,Sales Executive,Mumbai,1980-05-30,2021-11-08
17,Howard,Mullins,Non-binary,Product,Product Manager,Chennai,1965-02-08,2022-01-22
18,Lindsey,Payne,Non-binary,Finance,Accountant,Mumbai,1969-12-23,2016-08-10
19,Melissa,Anderson,Female,Finance,Accountant,Noida,1997-06-24,2024-02-20
20,Kevin,Gonzalez,Male,Engineering,Software Engineer,Pune,1982-04-27,2021-10-09
21,Patricia,Johnson,Female,Marketing,SEO Specialist,Noida,1967-01-20,2017-06-18
22,George,Shelton,Non-binary,Product,Product Manager,Hyderabad,1969-09-27,2016-11-27
23,Heather,Johnson,Non-binary,Engineering,Software Engineer,Pune,1995-07-28,2017-06-30
24,Susan,Mann,Female,Product,Business Analyst,Pune,1981-10-01,2017-02-13
25,Crystal,Castillo,Female,Engineering,Software Engineer,Chennai,1969-11-09,2016-08-13
26,Tara,Torres,Male,HR,HR Manager,Noida,1999-10-02,2020-07-20
27,Derek,Garrison,Male,Support,Support Engineer,Hyderabad,2003-02-02,2018-06-13
28,Michelle,Rasmussen,Non-binary,Marketing,SEO Specialist,Noida,1978-09-16,2017-02-27
29,Ralph,Peterson,Male,Support,Support Lead,Mumbai,1980-06-29,2024-10-23
30,Toni,Salas,Non-binary,Marketing,SEO Specialist,Chennai,1978-09-08,2024-07-12
31,Kelly,Greene,Non-binary,Support,Support Engineer,Bangalore,1987-08-18,2019-02-20
32,Nathan,Rice,Female,Marketing,Marketing Executive,Bangalore,1996-11-06,2024-05-06
33,Michael,Thompson,Female,Marketing,Marketing Executive,Bangalore,1994-05-11,2021-11-17
34,Darryl,Villegas,Male,HR,HR Manager,Hyderabad,1991-01-25,2024-11-12
35,Nicole,Williamson,Female,Sales,Account Manager,Bangalore,1998-10-11,2018-01-22
36,John,Miller,Male,Sales,Sales Manager,Mumbai,1989-06-30,2019-07-17
37,Leslie,Dorsey,Non-binary,Engineering,Tech Lead,Hyderabad,1981-10-18,2021-01-02
38,Kristen,Mathews,Female,Sales,Sales Executive,Mumbai,1972-07-16,2023-02-07
39,Amber,Campbell,Female,Finance,Finance Manager,Noida,1972-06-30,2022-06-12
40,Tracy,Grimes,Male,Support,Support Lead,Pune,1969-11-26,2019-12-17
41,Jeffrey,Kerr,Non-binary,Finance,Finance Manager,Chennai,1991-12-25,2017-08-07
42,Amy,Dean,Male,Engineering,DevOps,Pune,1989-01-04,2021-05-25
43,James,Morgan,Female,Support,Support Lead,Chennai,1985-04-16,2019-06-07
44,Valerie,Medina,Non-binary,HR,HR Executive,Hyderabad,1976-09-11,2024-11-07
45,Sharon,Sanchez,Male,Product,Product Manager,Pune,1982-11-25,2022-11-14
46,Emma,Green,Non-binary,Marketing,Marketing Executive,Noida,1993-02-22,2015-05-31
47,Diane,Gilbert,Female,Product,Product Manager,Pune,1990-07-16,2022-06-08
48,Matthew,Melton,Non-binary,Sales,Account Manager,Bangalore,1966-12-07,2017-05-10
49,Adam,Carpenter,Female,HR,HR Executive,Hyderabad,1991-07-27,2019-10-10
50,Kevin,Mejia,Non-binary,HR,HR Executive,Bangalore,1992-08-26,2022-12-03
51,Colleen,Craig,Non-binary,Finance,Accountant,Pune,1974-09-27,2019-12-06
52,Amber,Carter,Non-binary,HR,HR Executive,Bangalore,1994-09-11,2019-03-12
53,Paul,Martinez,Non-binary,Sales,Sales Executive,Hyderabad,2000-06-07,2017-10-01
54,Heather,Garcia,Male,Product,Business Analyst,Noida,1980-11-05,2018-12-14
55,Stephanie,Walker,Female,Product,Business Analyst,Noida,1999-04-26,2018-05-01
56,Lindsey,Cardenas,Female,Finance,Finance Manager,Bangalore,1985-04-28,2015-08-30
57,Jessica,Wolf,Non-binary,HR,HR Executive,Pune,1975-10-12,2022-09-15
58,Ashley,Strickland,Female,Engineering,Software Engineer,Pune,1983-09-20,2022-08-14
59,Jose,Sanchez,Non-binary,HR,HR Manager,Noida,1995-12-30,2017-06-10
60,Ryan,Gibson,Non-binary,Sales,Sales Executive,Noida,1973-11-01,2023-12-19
61,Heidi,Gray,Male,Sales,Sales Manager,Mumbai,1968-06-22,2022-11-25
62,Ellen,Wagner,Non-binary,Engineering,Software Engineer,Hyderabad,1977-01-17,2015-04-04
63,Vicki,Lewis,Male,Product,Product Manager,Pune,1967-11-13,2024-04-08
64,Eric,Scott,Female,Sales,Account Manager,Noida,1977-04-07,2018-12-19
65,John,Johnson,Male,HR,HR Executive,Pune,1995-11-08,2015-07-07
66,Jill,Baxter,Male,HR,HR Manager,Mumbai,1964-11-06,2022-04-14
67,Carlos,Kelly,Female,Support,Support Engineer,Pune,2002-04-20,2024-08-13
68,Michael,Davidson,Female,HR,HR Manager,Chennai,1998-11-23,2019-09-11
69,Allison,Miller,Non-binary,Product,Product Manager,Hyderabad,1976-09-25,2016-07-21
70,David,Nelson,Male,Support,Support Lead,Noida,1998-06-28,2023-07-23
71,Pamela,Hayes,Female,Finance,Accountant,Bangalore,1970-02-03,2022-11-16
72,Kathryn,Jones,Male,Finance,Finance Manager,Pune,1978-12-19,2020-01-27
73,Darius,Martin,Male,Finance,Finance Manager,Bangalore,2001-11-27,2016-03-08
74,Karen,Kelly,Male,Engineering,DevOps,Mumbai,1970-02-12,2016-04-03
75,Christian,Pineda,Female,Finance,Accountant,Pune,1981-10-20,2021-08-22
76,Harold,Rodgers,Male,Product,Business Analyst,Hyderabad,1979-06-04,2018-03-22
77,Daniel,Robbins,Female,Product,Business Analyst,Hyderabad,1995-08-18,2016-09-23
78,Patricia,Santos,Female,Marketing,SEO Specialist,Mumbai,2001-03-12,2018-03-13
79,Tony,White,Male,Marketing,SEO Specialist,Chennai,1974-08-29,2017-02-08
80,Ebony,Durham,Non-binary,Product,Business Analyst,Bangalore,1985-05-21,2016-07-16
81,Crystal,Smith,Male,Engineering,Software Engineer,Mumbai,1972-12-30,2022-06-21
82,Andrew,Avery,Non-binary,Finance,Accountant,Hyderabad,1978-08-22,2015-10-27
83,Manuel,Edwards,Male,Marketing,Marketing Executive,Pune,1983-03-10,2019-05-23
84,Melissa,King,Non-binary,Finance,Finance Manager,Bangalore,1977-01-03,2021-07-22
85,Michael,Brennan,Female,Finance,Finance Manager,Hyderabad,1992-02-14,2016-04-21
86,Julia,Graves,Female,Engineering,DevOps,Bangalore,1982-04-26,2024-06-26
87,Aaron,Walker,Non-binary,Marketing,Marketing Executive,Hyderabad,1966-04-17,2019-03-04
88,Kyle,Lewis,Female,Support,Support Engineer,Noida,1966-02-09,2023-07-10
89,Donald,Wood,Male,Product,Business Analyst,Hyderabad,2001-04-28,2015-08-15
90,Gregory,Bridges,Male,Marketing,SEO Specialist,Noida,1993-11-14,2023-05-16
91,Sean,Zhang,Non-binary,HR,HR Executive,Pune,1966-02-01,2022-02-19
92,Lori,Maynard,Non-binary,Support,Support Lead,Noida,1974-01-30,2019-05-31
93,Austin,Robinson,Non-binary,Support,Support Lead,Mumbai,1985-09-06,2020-02-26
94,Louis,White,Male,Finance,Finance Manager,Hyderabad,1984-08-04,2016-01-25
95,Karen,Guzman,Male,Marketing,SEO Specialist,Mumbai,1977-08-07,2020-11-28
96,Leslie,Robinson,Non-binary,Engineering,Senior Engineer,Pune,1983-04-08,2023-09-08
97,Adrienne,Price,Male,HR,HR Executive,Mumbai,1971-06-16,2021-06-17
98,Mariah,Ellis,Female,Engineering,Software Engineer,Noida,1986-09-22,2021-04-17
99,Donna,Harrison,Female,Support,Support Lead,Mumbai,1996-11-13,2019-06-25
100,Amanda,Wilkins,Male,Product,Product Manager,Pune,1992-12-22,2016-07-07
101,Anthony,Delgado,Non-binary,Finance,Accountant,Bangalore,1996-07-12,2022-04-26
102,Ronnie,Smith,Female,Finance,Finance Manager,Mumbai,1989-06-28,2022-04-15
103,Christopher,Clark,Non-binary,Finance,Accountant,Mumbai,1986-03-10,2021-01-30
104,Christina,Daniels,Non-binary,Support,Support Lead,Bangalore,1989-06-06,2015-03-09
105,Nathan,Leach,Non-binary,Engineering,Tech Lead,Pune,1994-01-10,2019-03-17
106,Jennifer,Silva,Male,Support,Support Lead,Pune,1984-02-17,2024-10-07
107,Sarah,Welch,Non-binary,Sales,Account Manager,Bangalore,1978-05-27,2020-04-15
108,Whitney,Ford,Male,Product,Product Manager,Pune,2002-07-06,2015-11-11
109,Oscar,Mccall,Male,Sales,Account Manager,Hyderabad,1966-02-28,2019-03-30
110,Gregory,Solis,Male,Engineering,Software Engineer,Hyderabad,1997-10-30,2018-12-31
111,Veronica,Graves,Male,Product,Business Analyst,Noida,1967-01-05,2021-08-19
112,Anthony,Lewis,Male,Finance,Finance Manager,Noida,2001-06-23,2019-05-24
113,Susan,Tate,Female,Engineering,Senior Engineer,Chennai,1991-03-09,2021-02-16
114,Richard,Ramirez,Female,Engineering,Senior Engineer,Hyderabad,1968-11-04,2016-02-05
115,Frank,Chandler,Female,Sales,Account Manager,Noida,1972-06-16,2018-10-15
116,Andrew,Nelson,Male,Support,Support Lead,Noida,1970-05-15,2019-01-03
117,Christopher,Young,Female,Engineering,Software Engineer,Hyderabad,1973-10-08,2022-11-12
118,Jacob,Cruz,Female,Support,Support Engineer,Chennai,1985-11-23,2015-05-07
119,Kathy,Robbins,Non-binary,Support,Support Engineer,Mumbai,1981-07-08,2023-02-07
120,Paul,Cooper,Female,Finance,Finance Manager,Mumbai,1983-08-11,2017-07-20
